rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
20,100,A,high,Menzio Tire Service,automotive parts and accessories,Middletown,(707) 987-2634,,No real website; high-fit niche; has phone,"Hi, I came across Menzio Tire Service in Middletown and noticed you don't have a website yet — for a automotive parts and accessories, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,5eaa1ad3-48d8-4752-9ca9-27aedccfcc7e
21,100,A,high,All N One Performance,automotive repair,Kelseyville,(707) 413-4528,allnoneperformance@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across All N One Performance in Kelseyville and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Kelseyville businesses and can send a free mockup.",,18bbbc42-2fe5-4a54-9a3f-3530091df51f
22,100,A,high,Bill Peters Equipment Repair,automotive repair,Lakeport,(707) 263-3043,cmlee1977@aol.com,No real website; high-fit niche; has phone + email,"Hi, I came across Bill Peters Equipment Repair in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,095c6f67-e122-448d-8c9c-8c127ac6d7fa
23,100,A,high,Brady's Detail & Dent Repair,automotive repair,Lakeport,(707) 245-0516,,No real website; high-fit niche; has phone,"Hi, I came across Brady's Detail & Dent Repair in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,8eb12a01-0600-4553-9c59-9919696d434b
24,100,A,high,CTHall Mobile Repair ,automotive repair,Middletown,(707) 809-8020,cthallmobilerepair@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across CTHall Mobile Repair in Middletown and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,cf3c578f-50c5-4845-9242-0dedfedf7a0f
25,100,A,high,DB Auto,automotive repair,Kelseyville,(707) 354-3786,dbauto222@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across DB Auto in Kelseyville and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Kelseyville businesses and can send a free mockup.",,acb06881-0128-40ce-8668-782a1a55bdc1
26,100,A,high,Deschamps Automotive,automotive repair,Lakeport,(707) 263-4692,,No real website; high-fit niche; has phone,"Hi, I came across Deschamps Automotive in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,8552786d-6ad9-41a7-a2b4-9007a670c489
27,100,A,high,Dream Car Conceptz,automotive repair,Lucerne,(707) 228-4129,,No real website; high-fit niche; has phone,"Hi, I came across Dream Car Conceptz in Lucerne and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lucerne businesses and can send a free mockup.",,bd57303f-359c-4311-9b7a-5a52bd792a4a
28,100,A,high,Four Starr Auto Repair,automotive repair,Lower Lake,(707) 994-7827,,No real website; high-fit niche; has phone,"Hi, I came across Four Starr Auto Repair in Lower Lake and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lower Lake businesses and can send a free mockup.",,dae62035-21b0-4d04-9eb5-0e5fa398ddd5
29,100,A,high,Garcia Auto Repair,automotive repair,Lakeport,(707) 570-5702,garcia.auto.lakeport@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Garcia Auto Repair in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,f4370699-840a-45eb-861e-b38f51155952
30,100,A,high,Holley's Repair,automotive repair,Lower Lake,(707) 994-5500,markholley1@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Holley's Repair in Lower Lake and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lower Lake businesses and can send a free mockup.",,99b2bb01-2cf6-4dc6-82de-99049ba9d60f
31,100,A,high,Jim's Automotive Specialists,automotive repair,Geyserville,(707) 857-3790,,No real website; high-fit niche; has phone,"Hi, I came across Jim's Automotive Specialists in Geyserville and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Geyserville businesses and can send a free mockup.",,1ad5b9b1-2365-41d1-9a4f-e7e5802264a3
32,100,A,high,Kevin's Middletown Transmission,automotive repair,Middletown,(707) 355-1320,,No real website; high-fit niche; has phone,"Hi, I came across Kevin's Middletown Transmission in Middletown and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,82e72c85-f163-4469-b083-f3e40065cc79
33,100,A,high,Mucci Automotive Performance,automotive repair,Upper Lake,(707) 349-5469,,No real website; high-fit niche; has phone,"Hi, I came across Mucci Automotive Performance in Upper Lake and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",,a466ff23-f779-4a47-8374-23c81ead0833
34,100,A,high,Performance Plus Automotive,automotive repair,Lakeport,(707) 263-3147,,No real website; high-fit niche; has phone,"Hi, I came across Performance Plus Automotive in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,78d2eb10-ac91-42d0-85aa-40319e36acef
35,100,A,high,Rapid Roadside Repair,automotive repair,Clearlake,(707) 295-0387,,No real website; high-fit niche; has phone,"Hi, I came across Rapid Roadside Repair in Clearlake and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,e3b596c9-701a-4e3c-a099-f554b4983618
36,100,A,high,Thomson's Garage,automotive repair,Hidden Valley Lake,(707) 350-8014,thomsonsgaragellc@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Thomson's Garage in Hidden Valley Lake and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Hidden Valley Lake businesses and can send a free mockup.",,cb622adf-b123-4aef-84e6-f98a72d964b5
37,100,A,high,Vernon Hampshire General Repair,automotive repair,Stonyford,(530) 963-3285,,No real website; high-fit niche; has phone,"Hi, I came across Vernon Hampshire General Repair in Stonyford and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Stonyford businesses and can send a free mockup.",,5b026204-3d17-4459-b1ef-27a6fcbee998
38,100,A,high,Wicked Automotive,automotive repair,Lakeport,(707) 230-6383,wicked.automotive100@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Wicked Automotive in Lakeport and noticed you don't have a website yet — for a automotive repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,27da9203-4c2b-4bd8-80f0-ecbb13bdfd9d
39,100,A,high,Hidden performance ,automotive services and repair,Hidden Valley Lake,(707) 321-4076,evilzdesign@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Hidden performance in Hidden Valley Lake and noticed you don't have a website yet — for a automotive services and repair, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Hidden Valley Lake businesses and can send a free mockup.",,e0c2316e-986d-45cf-9f47-713504d61fe1
40,100,A,high,Bakery El Palomo,bakery,Cloverdale,(707) 894-0104,,No real website; high-fit niche; has phone,"Hi, I came across Bakery El Palomo in Cloverdale and noticed you don't have a website yet — for a bakery, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,9e7a2240-33ba-4df6-8031-ee655d007f09
41,100,B,high,Delicious Delightful,bakery,Cloverdale,(604) 500-9656,delicious.delightful2@gmail.com,DIY site (Square) — upsell; high-fit niche; has phone + email,"Hi, I found Delicious Delightful in Cloverdale and saw the site is on Square. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",http://delicious-delightful-2.square.site/,1516e5ed-e765-4937-aaa5-d3c0154d07a7
42,100,A,high,Catalina Cantina ,bar,Clearlake,(707) 994-6450,,No real website; high-fit niche; has phone,"Hi, I came across Catalina Cantina in Clearlake and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,db13321a-4953-4608-baa9-6b56219b8557
43,100,A,high,Hopper's Corner Saloon,bar,Potter Valley,(707) 743-1678,,No real website; high-fit niche; has phone,"Hi, I came across Hopper's Corner Saloon in Potter Valley and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Potter Valley businesses and can send a free mockup.",,e017adbd-1843-4d19-a334-5d258fd10700
44,100,A,high,Sawmill Saloon,bar,Cloverdale,(707) 894-9881,,No real website; high-fit niche; has phone,"Hi, I came across Sawmill Saloon in Cloverdale and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,a6fb0151-ad1b-4248-8cdf-cd074ef7bb37
45,100,A,high,Schweitzers Giants Game N Grill House,bar,Lakeport,(707) 510-1423,t8achance90@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Schweitzers Giants Game N Grill House in Lakeport and noticed you don't have a website yet — for a bar, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,ed60ba22-5db9-40e9-912c-ccfc1817e571
46,100,A,high,Adam Springs Restaurant and Bar,bar and grill restaurant,Cobb,(707) 928-9992,,No real website; high-fit niche; has phone,"Hi, I came across Adam Springs Restaurant and Bar in Cobb and noticed you don't have a website yet — for a bar and grill restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cobb businesses and can send a free mockup.",,86c7ed5e-ec93-4da1-93ae-63143863a756
47,100,B,high,Drinx Bar and Grill,bar and grill restaurant,Lakeport,(707) 263-7355,jcook7777777@gmail.com,DIY site (Google Business) — upsell; high-fit niche; has phone + email,"Hi, I found Drinx Bar and Grill in Lakeport and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://drinxs-nite-club.business.site/,f81d6659-8ab9-4f61-9340-761e0097fcd7
48,100,A,high,Highlands Bar and Grill,bar and grill restaurant,Clearlake,(707) 994-0441,,No real website; high-fit niche; has phone,"Hi, I came across Highlands Bar and Grill in Clearlake and noticed you don't have a website yet — for a bar and grill restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,000f440d-8ce2-4be6-989e-dad7c4b6bebc
49,100,A,high,Mad Mac's Bar and Grill,bar and grill restaurant,Clearlake Oaks,(707) 560-5056,,No real website; high-fit niche; has phone,"Hi, I came across Mad Mac's Bar and Grill in Clearlake Oaks and noticed you don't have a website yet — for a bar and grill restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake Oaks businesses and can send a free mockup.",,12ec4e00-53f5-41cf-84b5-ba408f552a7e
50,100,A,high,Stonehouse,bar and grill restaurant,Middletown,(707) 809-8041,stonehousemiddletown@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Stonehouse in Middletown and noticed you don't have a website yet — for a bar and grill restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,6dadb0b9-0555-4268-b5f4-1a49f9fdac1c
51,100,A,high,Danny's Roadside Kitchen,barbecue restaurant,Lower Lake,(707) 701-6025,,No real website; high-fit niche; has phone,"Hi, I came across Danny's Roadside Kitchen in Lower Lake and noticed you don't have a website yet — for a barbecue restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lower Lake businesses and can send a free mockup.",,c6113785-c42c-4a98-9310-2ce11e1345d0
52,100,A,high,Middletown Barber Shop,barber,Middletown,(707) 987-2281,,No real website; high-fit niche; has phone,"Hi, I came across Middletown Barber Shop in Middletown and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,5bd52033-7b73-404d-a70f-505565704c48
53,100,B,high,Middletown Speakeasy Salon & Barbershop,barber,Middletown,(707) 295-0449,hairbymrs.tyrrell@gmail.com,DIY site (Square) — upsell; high-fit niche; has phone + email,"Hi, I found Middletown Speakeasy Salon & Barbershop in Middletown and saw the site is on Square. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://middletown-speakeasy-salon-and-barbershop.square.site/,039f99a9-73a7-450d-9a20-b21023733993
54,100,A,high,Morgan's Barber Shop,barber,Lakeport,(707) 263-6611,,No real website; high-fit niche; has phone,"Hi, I came across Morgan's Barber Shop in Lakeport and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,f2425fc3-4643-4c48-bef3-14e474b659f9
55,100,A,high,Nor Cal Cuts,barber,Lakeport,(707) 349-3785,,No real website; high-fit niche; has phone,"Hi, I came across Nor Cal Cuts in Lakeport and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,2bbbc7c1-d4c6-4831-a624-bc38c339e9de
56,100,A,high,Wirt's Barbershop,barber,Cloverdale,(707) 360-8289,,No real website; high-fit niche; has phone,"Hi, I came across Wirt's Barbershop in Cloverdale and noticed you don't have a website yet — for a barber, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,4e762a00-2cbe-4733-8436-c35886843fe9
57,100,A,high,Bare Beauty by C Fiske,beauty and spa,Lakeport,(707) 245-6060,barebeautybycfiske@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Bare Beauty by C Fiske in Lakeport and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,d0ec2b1c-ce87-4fc7-b0eb-4019ef8b5535
58,100,A,high,Beauty Bar,beauty and spa,Cloverdale,(707) 758-4393,,No real website; high-fit niche; has phone,"Hi, I came across Beauty Bar in Cloverdale and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,5c11f8c9-ef0d-48a1-87fe-16af40792a7d
59,100,A,high,Hair by Jenny Lacy,beauty and spa,Middletown,(707) 331-3278,,No real website; high-fit niche; has phone,"Hi, I came across Hair by Jenny Lacy in Middletown and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,9759dd91-e4a7-4d74-ae7c-16a542da4cad
60,100,A,high,HairbyJesssa,beauty and spa,Lakeport,(707) 263-0695,hairbyjessicabean@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across HairbyJesssa in Lakeport and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",https://www.instagram.com/jesslovescolor,8e41d315-7e49-483f-b423-a71346e83a23
61,100,B,high,Taylor B,beauty and spa,Lakeport,(707) 671-4254,lashedbytstylez@gmail.com,DIY site (Square) — upsell; high-fit niche; has phone + email,"Hi, I found Taylor B in Lakeport and saw the site is on Square. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",https://squareup.com/appointments/book/d03c0d74-d9fd-40fe-9e35-0d47efa363d3/029XPANA1JSGR/services,f461747b-ee12-46ab-a2f9-13a73463bdd0
62,100,A,high,The Body Bar,beauty and spa,Lower Lake,(707) 701-3143,,No real website; high-fit niche; has phone,"Hi, I came across The Body Bar in Lower Lake and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lower Lake businesses and can send a free mockup.",,d71df9c8-38b6-4297-9e14-c84d098a83e8
63,100,A,high,Trends,beauty and spa,Middletown,(707) 987-3522,,No real website; high-fit niche; has phone,"Hi, I came across Trends in Middletown and noticed you don't have a website yet — for a beauty and spa, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Middletown businesses and can send a free mockup.",,3ae232e9-dcb2-4ac8-a88a-09ef6788249b
64,100,A,high,10 Perfect Nails,beauty salon,Clearlake,(707) 461-9056,,No real website; high-fit niche; has phone,"Hi, I came across 10 Perfect Nails in Clearlake and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,d148db99-f5b6-4305-be73-b573bf6eff6e
65,100,A,high,Bliss Beauty Bar,beauty salon,Lakeport,(707) 263-0208,,No real website; high-fit niche; has phone,"Hi, I came across Bliss Beauty Bar in Lakeport and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,69911dad-25d6-44e3-9ffc-d86848a1c77c
66,100,A,high,Blonde & Beyond,beauty salon,Lakeport,(707) 349-3428,kaitlinnbour@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Blonde & Beyond in Lakeport and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,bba93558-1cb3-4164-a7ae-c67f408634f5
67,100,A,high,Blondies,beauty salon,Lakeport,(707) 263-5489,,No real website; high-fit niche; has phone,"Hi, I came across Blondies in Lakeport and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,dc38d37c-ec31-4fc4-b6eb-c8ca5876f7d2
68,100,A,high,Boulevard Kuts,beauty salon,Cloverdale,(707) 894-9242,,No real website; high-fit niche; has phone,"Hi, I came across Boulevard Kuts in Cloverdale and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",,2b43ff84-7ac3-4b03-bc91-206f695e75d6
69,100,A,high,By the Blade Beauty Salon,beauty salon,Cloverdale,(707) 326-7651,jlynaustin24@hotmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across By the Blade Beauty Salon in Cloverdale and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cloverdale businesses and can send a free mockup.",https://linktr.ee/beautybykeanna,ec1d5708-d25b-4a42-93e0-e214c881cf24
70,100,A,high,Claire Julia Creative,beauty salon,Cobb,(707) 730-3553,claire.julia.36@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Claire Julia Creative in Cobb and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cobb businesses and can send a free mockup.",,419de71b-01f9-479c-a0a6-e8f6a09df12f
71,100,A,high,Flawless Skin,beauty salon,Lakeport,(707) 972-2366,makeupbytessa@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Flawless Skin in Lakeport and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,7e05b128-5bdd-4364-ac28-d24e016670b6
72,100,A,high,Get Finessed / Sherice Monet,beauty salon,Clearlake,(369) 215-2029,shericem@shericemonetbeauty.com,No real website; high-fit niche; has phone + email,"Hi, I came across Get Finessed / Sherice Monet in Clearlake and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,a4e7bc91-998f-4716-9dab-b96cf4a2acbc
73,100,A,high,Girlfriends,beauty salon,Clearlake,(707) 994-6303,,No real website; high-fit niche; has phone,"Hi, I came across Girlfriends in Clearlake and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Clearlake businesses and can send a free mockup.",,ebef2d55-8ba0-4538-ac95-916ca99f44b2
74,100,B,high,Hair By Brittney Fiske,beauty salon,Middletown,(916) 412-1385,beautybybrittneyk@gmail.com,DIY site (Square) — upsell; high-fit niche; has phone + email,"Hi, I found Hair By Brittney Fiske in Middletown and saw the site is on Square. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",http://chasemyhairsalon.square.site/,64168c4f-71a4-4da5-be90-bd4d3a892b27
75,100,A,high,Hair by Kaitlinn,beauty salon,Lakeport,(707) 263-4016,kaitundead@live.com,No real website; high-fit niche; has phone + email,"Hi, I came across Hair by Kaitlinn in Lakeport and noticed you don't have a website yet — for a beauty salon, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",http://Instagram.com/hairbykaitlinn,c6c9a6b3-edfb-474e-84bc-f0b7947d33e2
