Score,Grade,Action,Business,Category,Value,Need,Channel,Owner,Email,Email status,Owner email,Phone,Website,Site quality,Facebook,Instagram,Address,City,Why
92,A,Email — NO website; premium value,Best Chance Heating and Cooling,hvac_services,premium,NO website,email+phone,,bestchancehvac@gmail.com,valid,,+17073369800,https://maps.google.com/?cid=9288375200146635502,,,,2967 Coors Ct,Santa Rosa,NO website; premium category; email+phone
92,A,Email — NO website; premium value,Chau Norman DDS,general_dentistry,premium,NO website,email+phone,,normanchaudds1@gmail.com,valid,,+17075444818,,,,,2921 Cleveland Ave,Santa Rosa,NO website; premium category; email+phone
92,A,Email — NO website; premium value,Facciano HVAC and Sheet Metal,hvac_services,premium,NO website,email+phone,,tony@faccianohvac.com,valid,,+17075401250,,,,,2175 Bluebell Dr,Santa Rosa,NO website; premium category; email+phone
92,A,Email — NO website; premium value,California State Insulation,contractor,premium,NO website,email+phone,,calstate707@gmail.com,valid,,+17075463177,,,,,1244 Tapadera Dr,Santa Rosa,NO website; premium category; email+phone
92,A,Email — NO website; premium value,Aesthetics Office Inc,medical_spa,premium,NO website,email+phone,,nursenancie1@gmail.com,valid,,+17075778888,https://linktr.ee/aestheticsofficeinc,,,,648 Larkfield Ctr,Santa Rosa,NO website; premium category; email+phone
92,A,Email — NO website; premium value,EnVision Beauty LLC,medical_spa,premium,NO website,email+phone,,envision_beauty@yahoo.com,valid,,+17074907277,,,,,884 3rd St,Santa Rosa,NO website; premium category; email+phone
92,A,Email — NO website; premium value,Kaya Jade Aesthetics,medical_spa,premium,NO website,email+phone,,skinbykaya@gmail.com,valid,,+17076714633,https://linktr.ee/skinbykaya,,,,1116 Mendocino Ave,Santa Rosa,NO website; premium category; email+phone
91,A,Email — site dead; premium value,Jeffrey B Templin DDS,dentist,premium,site dead,email+phone,,jbtemplindds@comcast.net,valid,,+18442139508,https://local.intuit.com/b/jeffreybtemplindds,dead,,,65 St James Dr,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Scott Benstock,dentist,premium,site dead,email+phone,,doctor@benstockdentalcare.com,valid,,+17078235339,http://www.benstockdentalcare.com/,dead,,,652 Petaluma Ave,Sebastopol,site dead; premium category; email+phone
91,A,Email — site dead; premium value,"Gerald E. Dixon and Scott E. Dixon, DDS",dentist,premium,site dead,email+phone,,dixondentistry@gmail.com,valid,,+17078238529,http://www.geralddixondds.com/,dead,,,6800 Palm Ave,Sebastopol,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Miguel's Painting,contractor,premium,site dead,email+phone,,miguelspaintingcompany@yahoo.com,valid,,+17078887174,http://www.moondancepainting.com,dead,,,3545 Moorland Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Comet Construction,contractor,premium,site dead,email+phone,,cometconstruction@sbcglobal.net,valid,,+17075784506,http://cometconstructioninc.com,dead,,,3011 Manning Ct,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Five Star Cooling,hvac_services,premium,site dead,email+phone,,ricokst@outlook.com,valid,,+17072006993,http://www.airconditioningsantarosaca.com/,dead,,,3161 Coffey Ln,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Leslie Jue DDS,cosmetic_dentist,premium,site dead,email+phone,,jueinfo@sonic.net,valid,,+17075371904,https://www.socodentalstudio.com/,dead,,,55 Mission Cir,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,SRJC Dental Hygiene Clinic,dentist,premium,site dead,email+phone,,aemerson@santarosa.edu,valid,,+17075222844,https://dentalprograms.santarosa.edu/information,dead,,,1501 Mendocino Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Landeros & Associates Family & Cosmetic Dentistry,dentist,premium,site dead,email+phone,,drlukelanderos@emaildds.com,valid,,+17077020594,https://www.mysantarosadentist.com/,dead,,,2448 Guerneville Rd,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Merciari Construction Design,contractor,premium,site dead,email+phone,,merciariconstructiondesign@gmail.com,valid,,+17074776174,http://www.merciaridesign.com/,dead,,,887 Sebastopol Rd,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Wide Open Concrete Pumping,contractor,premium,site dead,email+phone,,wideopen2011@hotmail.com,valid,,+17079749463,http://wideopenconcretepumping.com/santa-rosa-concrete-pumping-services,dead,,,297 Anteeo Way,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Lowes Electric,electrician,premium,site dead,email+phone,,loweselectric@socialmedianinjas.com,valid,,+17075846565,http://loweselectrician.com/,dead,,,3721 Santa Rosa Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Ecolux Home Services,hvac_services,premium,site dead,email+phone,,vince.r@ecoluxhomeservices.com,valid,,+17078897484,http://www.EcoluxHomeServices.com/,dead,,,284 Scenic Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Alpha Omega Builders  LIC# 647675 - Since 1992,contractor,premium,site dead,email+phone,,alphaomegabuild@aol.com,valid,,+17079742048,http://alphaomegabuildersca.com/,dead,,,4485 Hargrave Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,ORourke Electric Inc,electrician,premium,site dead,email+phone,,dan@orourke-electric.com,valid,,+17075288539,http://www.orourke-electric.com/,dead,,,3347 Industrial Dr,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Darren Gonzalez,dentist,premium,site dead,email+phone,,darrengonzalezdds@gmail.com,valid,,+17075421532,https://www.darrengonzalezdds.com/,dead,,,1515 Montgomery Dr,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Dave Poulson's Excavating,contractor,premium,site dead,email+phone,,dpexcavating@yahoo.com,valid,,+17075261462,https://www.dpexc.com,dead,,,620 Clover Dr,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Lash Out Proefessional Eyelash,cosmetic_and_beauty_supplies,premium,site dead,email+phone,,whitney@lashoutpro.com,valid,,+17074953894,http://www.lashoutsantarosa.com,dead,,,525 4th St Ste B,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Bryan Bowen,dentist,premium,site dead,email+phone,,bryanwbowen@gmail.com,valid,,+17073210836,http://www.bryanwbowen.com/,dead,,,6741 Sebastopol Ave,Sebastopol,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Barone Janitorial Service,flooring_contractors,premium,site dead,email+phone,,baronejanitorial@comcast.net,valid,,+17075455402,http://www.baronejanitorial.com,dead,,,3519 Plantain Ct,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Thomas Ayurveda,chiropractor,premium,site dead,email+phone,,drst@sonic.net,valid,,+17075277313,http://www.DrHelenMaryThomasDC.com/,dead,,,2880 Cleveland Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Discount Backhoe,contractor,premium,site dead,email+phone,,4dewitts@att.net,valid,,+17075702627,http://www.discountbackhoe.com,dead,,,1169 Wild Rose Dr,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Daniel Sullivan,cosmetic_dentist,premium,site dead,email+phone,,dansullivandds@yahoo.com,valid,,+17075455260,http://santarosacosmetic.dentist/,dead,,,4655 Hoen Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Kevin T. Jeffers D.D.S,dentist,premium,site dead,email+phone,,jeffersdds@gmail.com,valid,,+17075286343,http://www.jeffersdentistry.com/,dead,,,1820 Sonoma Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Redwood Coast Dental,general_dentistry,premium,site dead,email+phone,,redwoodcoastdental@gmail.com,valid,,+17075286797,http://www.redwoodcoastdental.com/,dead,,,1144 Sonoma Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Quality Wallcovering,contractor,premium,site dead,email+phone,,g-d@pakmail.org,valid,,+17075271727,http://qualitywall.com/,dead,,,1535 Farmers Ln,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Soleil Solar,electrician,premium,site dead,email+phone,,soleilengineering@gmail.com,valid,,+17073212937,http://soleilsolar.com/,dead,,,3928 New Zealand Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Azevedo Construction,contractor,premium,site dead,email+phone,,ceasarazevedo@sbcglobal.net,valid,,+17073961083,http://www.ceasarazevedoconstruction.com/,dead,,,625 Nathan Ln,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Oak Tree Dental,dentist,premium,site dead,email+phone,,oaktreedentalsebastopol@gmail.com,valid,,+17078231029,http://oaktreedentalsebastopol.com/,dead,,,220 Petaluma Ave,Sebastopol,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Gaitan Plastering,contractor,premium,site dead,email+phone,,tidalwavepoolandspa@gmail.com,valid,,+17075669118,http://www.gaitanplastering.com,dead,,,3237 Santa Rosa Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,West Coast Construction,paving_contractor,premium,site dead,email+phone,,stanley.tina@icloud.com,valid,,+17073600017,http://www.westcoastconstructionsp.com/,dead,,,288 Scenic Ave,Santa-Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Home Run Delivery Systems,contractor,premium,site dead,email+phone,,homerundelivery@comcast.net,valid,,+17073265464,http://homerundel.com,dead,,,4921 Pinecroft Way,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Roofmaster,contractor,premium,site dead,email+phone,,frwebster@msn.com,valid,,+17075399739,http://www.roofingsantarosa.com,dead,,,1104 Calistoga Rd,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Ortiz Custom Builders,contractor,premium,site dead,email+phone,,ortizcustombuildersinc@gmail.com,valid,,+17077032409,https://www.ortizcustombuilder.com/,dead,,,613 4th St,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Construction and Development Solutions Inc.,contractor,premium,site dead,email+phone,,del@cds-inc.net,valid,,+17074845338,http://delnordby.com/contact/,dead,,,50 Santa Rosa Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Impulse Life Chiropractic,chiropractor,premium,site dead,email+phone,,impulselifechiropractic@gmail.com,valid,,+17078063989,https://impulselifechiropractic.janeapp.com/locations/impulse-life-chiropractic/book?hl=en-US&gei=zR9naZpYx9SQ8g_EgpyQDQ&rwg_token=AFd1xnFvMbsk4QJ2ay0TTYCe-49hjXsQvJR8N3sYYOjTH1RkDMLl44VPp4CbjSxLs40Posp6ZzyBSUd_2RsAy2UvmmalbAj9FQ%3D%3D#/staff_member/1/bio,dead,,,7765 Healdsburg Ave,Sebastopol,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Mom's Way Cleaning,contractor,premium,site dead,email+phone,,momswayonly@gmail.com,valid,,+17073312924,http://www.momswaycleaning.com,dead,,,2942 Apache St,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Atlas Heating and Air Conditioning,hvac_services,premium,site dead,email+phone,,atlashvac@yahoo.com,valid,,+17075717522,http://www.atlasheatingandairconditioninginc.com,dead,,,560 Silva Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,A Rocky Road,bathroom_remodeling,premium,site dead,email+phone,,arockyrd@sonic.net,valid,,+17075262553,http://www.arockyroad.com,dead,,,339 S E St Ste 5,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Dental Design Studio Inc,dentist,premium,site dead,email+phone,,dds1lab@aol.com,valid,,+17075687680,http://www.ddslabs.com/,dead,,,2312 Bethards Dr,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Mick's Door Shop,contractor,premium,site dead,email+phone,,mixdoors@yahoo.com,valid,,+17075753810,http://www.micksdoorshopsantarosaca.com/,dead,,,2900 Llano Rd,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Steven C Wilburn DMD,dentist,premium,site dead,email+phone,,staff@stevewilburndmd.com,valid,,+17075422881,http://stevewilburndmd.com/,dead,,,4755 Hoen Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,James Electric,electrician,premium,site dead,email+phone,,jameselectric2003@yahoo.com,valid,,+17075794386,http://www.jameselectric.webs.com,dead,,,795 Farmers Ln Ste 20,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Sonoma County Oral Surgery & Dental Implant Center,dentist,premium,site dead,email+phone,,sonomacountyos@gmail.com,valid,,+17075667300,https://www.sonomacountyoralsurgery.com,dead,,,1460 Farmers Ln,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Debra J Araujo DDS,dentist,premium,site dead,email+phone,,debrajaraujodds@gmail.com,valid,,+17075754450,http://www.djaraujodds.com/,dead,,,1206 Farmers Ln,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,"Westerberg Linnea, DDS",dentist,premium,site dead,email+phone,,linneawesterberg1@gmail.com,valid,,+17075717890,http://www.westerbergdds.com/,dead,,,990 Sonoma Ave,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Alternative Roofing Solutions,contractor,premium,site dead,email+phone,,arsroofinggutters@gmail.com,valid,,+17075212104,http://www.arsroofing.com,dead,,,3327 McMaude Pl,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Pimentel Paving Inc.,paving_contractor,premium,site dead,email+phone,,pimentelpaving@gmail.com,valid,,+17075888402,https://pimentelpaving.com/,dead,,,3647 Melcon Ln,Santa Rosa,site dead; premium category; email+phone
91,A,Email — thin/placeholder site; premium value,Steele Electric,electrician,premium,thin/placeholder site,email+phone,Founder Daniel Steele,steeleelectric@comcast.net,valid,,+17073184917,,thin,http://facebook.com/electricsteele,https://www.instagram.com/steeleelectric/,5036 Gregory Ct,Santa Rosa,thin/placeholder site; premium category; email+phone; owner Founder Daniel Steele; active social
91,A,Email — site dead; premium value,Avila Electric,electrician,premium,site dead,email+phone,,sal@avilaelectricinc.com,valid,,+17078435557,http://avilaelectricinc.com/,dead,,,880 Piner Rd,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,R A Nielsen & Sons,contractor,premium,site dead,email+phone,,ranielsen@comcast.net,valid,,+17075422298,http://www.ranielsen-sons.com,dead,,,909 Clark St,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Animal Kingdom Veterinary Hospital,veterinarian,premium,site dead,email+phone,,animalkingdomveterinaryhospital@yahoo.com,valid,,+17078235337,http://www.animalkingdomvh.com/,dead,,,6742 Sebastopol Ave,Sebastopol,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Just-in Time Plumbing & Heating,hvac_services,premium,site dead,email+phone,,ilovejustintimeph@gmail.com,valid,,+17078242837,http://www.just-intimeplumbingandheating.com/,dead,,,2011 Cooper Rd,Sebastopol,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Empire Equine,veterinarian,premium,site dead,email+phone,,empireequine@comcast.net,valid,,+17075453909,https://www.empirequine.com/,dead,,,2318 Olivet Ln,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Diaz and Sons Construction,contractor,premium,site dead,email+phone,,leo@handymansantarosa.com,valid,,+17075280693,http://www.handymansantarosa.com/,dead,,,3320 Magowan Dr,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Sunshine Body Sculpting,medical_spa,premium,site dead,email+phone,,sunshinebodystudio24@gmail.com,valid,,+17073842662,http://sunshinebodysculpting.glossgenius.com/,dead,,,1071 Santa Rosa Plaza,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,Shawn's Paving Services,contractor,premium,site dead,email+phone,,shawnspaving@yahoo.com,valid,,+17075960859,https://www.shawnspaving.com/,dead,,,220 Burt St,Santa Rosa,site dead; premium category; email+phone
91,A,Email — site dead; premium value,D B Baker Construction,contractor,premium,site dead,email+phone,,dalebakerconst@att.net,valid,,+17075918955,https://dbbakerconstruction.com,dead,,,3200 Dutton Ave Ste 216,Santa Rosa,site dead; premium category; email+phone
89,A,Email — thin/placeholder site; premium value,"Oloph K Granath, DDS",dentist,premium,thin/placeholder site,email+phone,,patientinfo@stunningsmiles.com,valid,,+17075289411,http://www.stunningsmiles.com,thin,https://www.facebook.com/profile.php?id=100089486299551,,2345 4th St,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Paragon Power LLC,electrician,premium,thin/placeholder site,email+phone,,paragonpowerllc@proton.me,valid,,+17076969658,http://paragonpower.us/,thin,,https://www.instagram.com/paragonpowerllc/,1821 Sansone Dr,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — site dead; premium value,Tri County Concrete Pumping,contractor,premium,site dead,email+phone,,info@dennisgroveconcretepumping.com,unknown,,+17075687525,https://www.dennisgroveconcretepumping.com,dead,https://www.facebook.com/DGPPumping/,,2288 Francisco Ave,Santa Rosa,site dead; premium category; email+phone; active social
89,A,Email — site dead; premium value,Liu Family Dental Care,dentist,premium,site dead,email+phone,,frontdesk@phillipsfamilydentalcare.com,unknown,,+17075421026,http://www.phillipsfamilydentalcare.com,dead,https://www.facebook.com/profile.php?id=61576155855001&mibextid=wwXIfr&mibextid=wwXIfr,,2655 Cleveland Ave,Santa Rosa,site dead; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Rea roofing inc,contractor,premium,thin/placeholder site,email+phone,,rearoofin84@gmail.com,valid,,+17073320081,,thin,https://www.facebook.com/hover,https://www.instagram.com/hover_domains,998 San Clemente Dr,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Smile Country Dental,general_dentistry,premium,thin/placeholder site,email+phone,,forms@smilecountrydental.com,valid,,+17075783118,https://www.smilecountrydental.com/,thin,https://www.facebook.com/scdnapa,https://www.instagram.com/scdnapa/,140 Stony Point Rd,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Rubio's,veterinarian,premium,thin/placeholder site,email+phone,,fundraiser@rubios.com,valid,,+17075463267,,thin,https://www.facebook.com/rubioscoastalgrill,https://www.instagram.com/rubioscoastalgrill/,1016 Santa Rosa Plz,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Cascade Family Dental,dentist,premium,thin/placeholder site,email+phone,,medinaolivadental@gmail.com,valid,,+17079876410,http://www.cascadedentalsantarosa.com/,thin,https://www.facebook.com/people/Cascade-Family-Dental/100063505212533/,,925 Corporate Center Pkwy,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Aleman Concrete,contractor,premium,thin/placeholder site,email+phone,,dougaleman@yahoo.com,valid,,+17077751497,http://alemanconcreteconstruction.com/,thin,https://www.facebook.com/p/Aleman-Concrete-100069462286617/,,5023 Algiers Ave,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — site dead; premium value,Northtown Guardian Pet Hospital,veterinarian,premium,site dead,email+phone,,clientservices@ngpethospital.com,unknown,,+17075466355,https://ngpethospital.com/,dead,https://www.facebook.com/NorthtownAnimalHospital/,,3881 Old Redwood Hwy,Santa Rosa,site dead; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,"Karimeh Shehadeh, DDS",pediatric_dentist,premium,thin/placeholder site,email+phone,,oaktreedentalstaff@gmail.com,valid,,+17078231029,https://oaktreedentalsebastopol.com/dr-karimeh-shehadeh/,thin,https://www.facebook.com/oaktreedentalsebastopol/,https://www.instagram.com/oaktreedental_sebastopol/,220 Petaluma Ave Ste d,Sebastopol,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Vital Energy Solutions,electrician,premium,thin/placeholder site,email+phone,,power@vitalenergysolar.com,valid,,+17078003884,https://www.vitalenergysolar.com/,thin,https://www.facebook.com/vitalenergysolar,https://www.instagram.com/vitalenergysolutions/,"7064 Corline Court, Building B",Sebastopol,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Empower Digital Dental,dentist,premium,thin/placeholder site,email+phone,,empowerdigitaldental@icloud.com,valid,,+17075783077,http://www.empowerdigitaldental.com/,thin,,https://www.instagram.com/empowerdigitaldental/,90 Doctors Park Dr,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Lux Aeterna Aesthetics,medical_spa,premium,thin/placeholder site,email+phone,,luxaeternamedspa@gmail.com,valid,,+17077750526,https://luxaeternamedspa.com/,thin,,https://www.instagram.com/luxaeternaaesthetics/,10 4th St,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Live Fully Integrative Chiropractic,chiropractor,premium,thin/placeholder site,email+phone,,livefullychiropractic@gmail.com,valid,,+17072003194,http://www.LiveFullyChiropractic.com/,thin,,https://www.instagram.com/livefully_integrativechiro,1540 Gravenstein Hwy S,Sebastopol,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Bright Care Dental Practice,dentist,premium,thin/placeholder site,email+phone,,brightcaredental@gmail.com,valid,,+17075783776,http://alavidentistry.com,thin,https://www.facebook.com/pages/Alavi-Dentistry/142603079264459,,1420 Guerneville Rd #2,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Stunning Smiles,dentist,premium,thin/placeholder site,email+phone,,drattri@stunningsmiles.com,valid,,+17076255653,http://www.stunningsmiles.com/,thin,https://www.facebook.com/profile.php?id=100089486299551,,2345 4th St,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Assign Family Dental Group,dentist,premium,thin/placeholder site,email+phone,,dr.haniassigndental@gmail.com,valid,,+17075751900,https://www.assigndentalgroup.com/,thin,https://www.facebook.com/people/Assign-Dental-Group/61558330303486/,,233 Farmers Ln,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,"Nicole Le, DDS & John Savko, DDS",dentist,premium,thin/placeholder site,email+phone,,lesavko@sonic.net,valid,,+17075393999,http://www.lesavkodental.com/,thin,https://www.facebook.com/Nicole-Le-DDS-John-Savko-DDS-288534236780,,615 North St,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — site dead; premium value,Rodrigo Valencia Tile | Santa Rosa CA,contractor,premium,site dead,email+phone,,rodrigo@rvalenciatile.com,unknown,,+17072171091,http://rvalenciatile.com/,dead,https://www.facebook.com/Rodrigo-Valencia-Tile-577271895707663/,https://www.instagram.com/rodrigovalenciatile/,3510 Industrial Dr,Santa Rosa,site dead; premium category; email+phone; active social
89,A,Email — site dead; premium value,Renew Science,medical_spa,premium,site dead,email+phone,,nayabarretto@renewsci.com,unknown,,+17078288440,https://renewsci.com/,dead,https://www.facebook.com/renewsciencenp,https://www.instagram.com/Renewscience_ca,194 Wikiup Dr,Santa Rosa,site dead; premium category; email+phone; active social
89,A,Email — site dead; premium value,Firebrand Electric,electrician,premium,site dead,email+phone,,info@fbssi.com,unknown,,+17073037270,http://www.firebrandelectric.com/,dead,https://www.facebook.com/FirebrandSafetySystems/,,3628 Airway Dr,Santa Rosa,site dead; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Sean Wilson,dentist,premium,thin/placeholder site,email+phone,,email@seanwilsondds.com,valid,,+17075787424,http://www.seanwilsondds.com/,thin,https://www.facebook.com/SeanWilsonDDS/,https://www.instagram.com/seanwilsonddssantarosa/,98 Montgomery Dr,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Llanes Stacey DVM,veterinarian,premium,thin/placeholder site,email+phone,,frontoffice@redwoodvetclinic.com,valid,,+17075424012,http://redwoodvetclinic.com,thin,https://www.facebook.com/Redwood-Veterinary-Clinic-150614908303996/,,1946 Santa Rosa Ave,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
89,A,Email — thin/placeholder site; premium value,Titan Roofing And Construction,roofing,premium,thin/placeholder site,email+phone,,abel@titanroofer.com,valid,,+17074958685,https://titanroofer.com/,thin,https://www.facebook.com/TitanRoofingandConstruction/,,4589 Arlington Ave,Santa Rosa,thin/placeholder site; premium category; email+phone; active social
